NAME,DEPDOM,FED_RSSD,FEDCHRTR
The Northern Trust Company,"33,503,871",210434,0
Old Kent Bank,,137830,0
The National Republic Bank of Chicago,"1,004,886",215130,1
State Bank of Clearing,,143831,0
Upper Avenue Bank,,148537,0
Uptown National Bank of Chicago,,97037,1
Community Banks of Shelby County,"40,425",102539,0
First Bank of Eureka,,546731,0
Greatbank Chicago,,970233,0
"NBD Bank Evanston, National Association",,738237,1
Farmers & Mechanics Bank,"238,456",744238,0
The State Bank of Geneva,"76,991",991135,0
Peoples National Bank of Kewanee,"209,454",823133,1
Central National Bank of Mattoon,,110543,1
"Commerce Bank of Woodford County, National Association",,769240,1
Citizens State Bank of Milford,"47,686",771047,0
State Bank of Niantic,"46,415",784944,0
First Chicago Bank of Oak Park,,852049,0
"Bank One, Illinois, National Association",,262349,1
Sumner National Bank of Sheldon,"14,988",583745,1
Citizens Bank of Tolono,,179540,0
Tuscola National Bank,"71,198",598646,1
Citizens First State Bank of Walnut,"50,291",476342,0
First Bank of Washington,,420149,0
NBD Bank,,278845,0
"Bank One, Wilmette",,612748,0
Fayette Bank and Trust Company,,138248,0
Farmers Loan and Trust Company,,699244,0
Commercial State Bank,,756745,0
Iowa State Bank,"214,123",734248,0
Cherokee State Bank,"159,332",205542,0
Davenport Bank and Trust Company,,839143,0
Bankers Trust Company,"2,239,684",811046,0
First National Bank,"180,117",617743,1
Fort Madison Bank & Trust Co.,"127,754",624246,0
Glenwood State Bank,"152,285",566243,0
Holstein State Bank,,978444,0
United Bank of Iowa,"968,082",738040,0
Magna Bank,,888842,0
Moorhead State Bank,,701745,0
First National Bank of Muscatine,"254,486",893248,1
Mercantile Bank of Jasper County,,235343,0
The Home Trust & Savings Bank,"192,995",60545,0
Firstar Bank Ottumwa,,81447,0
Home State Bank,"33,205",472045,0
The Security Trust and Savings Bank,,352941,0
Security Trust & Savings Bank,"156,977",363648,0
Templeton Savings Bank,"93,675",366247,0
"Society Bank, Lenawee",,631440,0
Bank of Lenawee,,630948,0
First of America Bank - Alpena,,161947,0
"NBD Ann Arbor, National Association",,644244,1
"First of America Bank - Mid Michigan, National Association",,54544,1
Blissfield State Bank,"80,533",937843,0
Tri-County Bank,"208,126",695349,0
Chemical Bank Cass City,,769848,0
Michigan National Bank-Michiana,,804842,1
Eastern Michigan Bank,"248,020",643340,0
Comerica Bank,"51,918,399",60143,0
Citizens Bank,,222147,0
NBD Genesee Bank,,607847,0
First of America Bank - Frankenmuth,,11846,0
Old Kent Bank of Fremont,,857343,0
FMB-Old State Bank,,858948,0
Old Kent Bank of Grand Haven,,928140,0
NBD Grand Haven,,865441,0
Fifth Third Bank,,913940,0
FMB-Commercial Bank,,668044,0
Old Kent Bank of Hillsdale,,997548,0
Union Savings Bank of Manchester,,322645,0
First of America Bank - Manistee,,195942,0
G. W. Jones Exchange Bank,"57,613",540542,0
Mason State Bank,"92,905",49344,0
Chemical Bank,"5,191,554",542649,0
First America Bank - Mt. Pleasant,,72043,0
Isabella Bank,"1,025,054",74140,0
Citizens State Bank,,84345,0
New Haven Savings Bank,,376741,0
OSB Community Bank,"68,944",382742,0
First of America Bank-Wayne Oakland,,795445,0
The Commercial and Savings Bank of St. Clair County,,951148,0
First of America Bank-Bay Area,,833048,0
Citizens Trust and Savings Bank,,382340,0
ChoiceOne Bank,"406,847",324340,0
Old Kent Bank-Grand Traverse,,230544,0
Republic Bank - Central,,432245,0
M&I Bank of Burlington,,519548,0
M&I Marshall and Ilsley Bank,,983448,0
Continental Bank & Trust Co.,,767648,0
"Clare Bank, National Association","246,039",988144,1
Norwest Bank Wisconsin East Central,,169840,0
M&I South Shore Bank,,112042,0
Baylake Bank,,280044,0
Boatmen's National Bank of Batesville,,919447,1
Farmers Bank and Trust Company,"356,114",33147,0
FBT Bank & Mortgage,"103,876",314444,0
Boatmen's National Bank of Arkansas,,883249,1
First National Bank of Russellville,,671343,1
Boatmen's National Bank of Russellville,,930545,1
First National Bank,,746344,1
State Bank of Breese,,812445,0
First Bank,,819248,0
Union Bank of Illinois,,634245,0
The Bank of Edwardsville,"1,415,179",219343,0
Midland States Bank,"1,392,822",773247,0
"C. P. Burnett & Sons, Bankers",,636342,0
First Bank and Trust Company in Greenville,,959845,0
"Citizens Bank of Illinois, National Association",,229548,1
County National Bank,,659341,1
Hoyleton State and Savings Bank,,963749,0
Elliott State Bank,,964241,0
Bank & Trust Company,"228,386",496845,0
First National Bank of Steeleville,"157,026",129349,1
Winchester National Bank,,274342,1
Citizens Bank,"21,627",535641,0
First Kentucky Trust Company,,316149,0
Camden County Bank,,476744,0
Glasgow Savings Bank,,836151,0
Central Bank,"210,208",924759,0
Midwest BankCentre,"888,694",657459,0
Commerce Bank of Richmond Heights,,37154,0
Wood & Huston Bank,"483,340",671558,0
Mercantile Bank of St. Louis National Association,,626446,1
"Commerce Bank of Moberly, National Association",,40556,1
Normandy Bank,,940955,0
Mercantile Bank of West Central Missouri,,427250,0
The Baden Bank of St. Louis,,533058,0
Bremen Bank and Trust Company,"165,818",534653,0
Cass Commercial Bank,"574,591",177751,0
Union Planters Bank of Missouri,,229847,0
Central West End Bank,,597359,0
Jefferson Bank and Trust Company,"385,348",598954,0
Jefferson-Gravois Bank of St. Louis,,353854,0
Lindell Bank & Trust Company,"366,699",185859,0
"Commerce Bank of St. Louis, National Association",,471954,1
Commerce Bank of Mound City,,191850,0
Allegiant Bank,,419152,0
Northwestern Bank and Trust Company,,359052,0
Southern Commercial Bank,"443,186",420457,0
